StudentID,Stream,Gender,CGPA,CGPA_Tier,Internships,Projects,AptitudeScore,SoftSkillsRating,Backlogs,PlacementTraining,PlacementStatus
61,EEE,Male,6.97,Medium,1,1,54,3.2,0,Yes,Placed
62,EEE,Female,6.51,Medium,1,3,62,2.7,2,Yes,Placed
63,CSE,Female,7.13,Medium,0,2,61,3.1,1,Yes,Placed
64,CSE,Male,8.15,High,2,4,85,4.3,0,Yes,Placed
65,CSE,Female,5.32,Low,0,0,49,2.6,3,No,NotPlaced
66,CIVIL,Female,6.97,Medium,2,1,44,2.4,2,No,Placed
67,MECH,Female,8.08,High,2,4,69,2.4,1,No,Placed
68,EEE,Female,6.31,Low,1,0,55,1.8,2,Yes,Placed
69,CIVIL,Female,8.42,High,2,2,72,4.3,0,No,Placed
70,CIVIL,Male,6.34,Low,0,1,49,3.1,1,Yes,Placed
71,ECE,Female,6.12,Low,1,1,45,3.0,2,Yes,Placed
72,ECE,Male,7.61,Medium,2,2,49,2.6,1,Yes,Placed
73,CIVIL,Male,7.79,Medium,2,1,56,3.8,2,Yes,NotPlaced
74,CIVIL,Male,6.53,Medium,1,2,48,2.9,3,Yes,NotPlaced
75,EEE,Male,8.1,High,3,4,81,3.4,1,Yes,Placed
76,CSE,Female,6.8,Medium,1,1,57,3.5,2,Yes,Placed
77,MECH,Male,7.78,Medium,2,4,71,3.1,0,Yes,Placed
78,EEE,Male,8.17,High,3,3,73,3.8,0,Yes,Placed
79,ECE,Female,7.08,Medium,2,2,61,3.2,2,Yes,Placed
80,MECH,Male,8.72,High,2,3,83,4.1,0,No,Placed
81,CIVIL,Female,8.81,High,2,2,83,3.4,0,Yes,Placed
82,MECH,Female,7.9,Medium,1,2,64,3.0,0,No,Placed
83,ECE,Male,7.34,Medium,1,2,76,4.1,1,No,Placed
84,CSE,Male,5.59,Low,0,1,37,2.2,3,No,NotPlaced
85,MECH,Male,7.6,Medium,2,2,76,3.2,0,Yes,Placed
86,ECE,Female,8.25,High,2,2,74,3.8,0,Yes,Placed
87,CSE,Male,8.79,High,2,3,80,4.7,0,Yes,Placed
88,CSE,Male,7.26,Medium,1,2,53,3.3,1,No,Placed
89,CSE,Female,7.62,Medium,1,3,63,3.5,0,No,Placed
90,EEE,Female,8.76,High,3,3,70,3.5,0,No,Placed
91,MECH,Female,6.15,Low,1,1,53,2.4,1,No,NotPlaced
92,CSE,Male,7.84,Medium,2,2,63,3.5,1,Yes,Placed
93,ECE,Male,5.0,Low,0,1,28,1.0,4,No,NotPlaced
94,CSE,Male,7.58,Medium,1,2,70,3.8,1,No,Placed
95,CIVIL,Female,5.86,Low,0,1,49,1.8,3,No,Placed
96,CSE,Female,5.88,Low,0,2,35,1.9,2,No,NotPlaced
97,CIVIL,Female,6.28,Low,1,2,51,3.7,2,No,Placed
98,ECE,Male,6.78,Medium,0,2,52,2.8,1,No,NotPlaced
99,MECH,Male,6.53,Medium,1,2,70,2.9,2,Yes,Placed
100,CSE,Male,5.0,Low,0,0,17,1.5,3,Yes,NotPlaced
101,ECE,Male,6.54,Medium,0,1,28,2.1,2,No,Placed
102,CSE,Male,9.39,High,2,2,81,4.3,0,Yes,Placed
103,ECE,Male,7.75,Medium,2,2,63,2.8,2,Yes,NotPlaced
104,CSE,Male,5.42,Low,0,2,59,1.4,2,Yes,Placed
105,CSE,Male,7.8,Medium,2,3,72,3.3,0,Yes,Placed
106,ECE,Female,6.06,Low,1,2,64,2.4,2,No,NotPlaced
107,MECH,Male,7.91,Medium,2,3,76,3.5,0,Yes,Placed
108,CSE,Male,5.82,Low,1,1,60,3.5,1,Yes,NotPlaced
109,CSE,Female,8.79,High,2,4,80,4.0,0,Yes,Placed
110,ECE,Male,6.91,Medium,2,2,52,3.2,1,No,Placed
111,ECE,Male,7.51,Medium,1,2,69,3.6,1,Yes,Placed
112,CIVIL,Male,5.31,Low,0,0,39,2.5,3,No,NotPlaced
113,CSE,Male,6.17,Low,0,1,47,3.2,2,Yes,NotPlaced
114,CSE,Male,8.95,High,2,2,80,3.9,0,No,Placed
115,ECE,Male,6.73,Medium,0,2,67,2.6,1,No,Placed
116,CSE,Female,7.58,Medium,2,4,77,3.8,0,Yes,NotPlaced
117,EEE,Female,5.06,Low,0,1,36,2.9,2,No,NotPlaced
118,CSE,Female,7.54,Medium,1,2,68,3.0,1,No,Placed
119,ECE,Male,8.05,High,1,3,72,3.1,1,Yes,Placed
120,ECE,Female,7.54,Medium,1,3,62,3.2,2,Yes,NotPlaced
121,CSE,Male,6.98,Medium,1,0,57,1.8,2,Yes,Placed
122,CSE,Male,8.0,High,2,2,72,3.5,0,Yes,Placed
123,CIVIL,Male,8.6,High,2,4,89,4.3,0,Yes,Placed
124,ECE,Male,7.53,Medium,2,2,72,2.9,0,No,Placed
125,CSE,Female,8.81,High,2,3,82,4.2,0,No,Placed
126,MECH,Female,8.35,High,1,1,87,3.8,0,No,Placed
127,CIVIL,Male,6.54,Medium,0,2,35,1.9,1,Yes,NotPlaced
128,CSE,Male,7.9,Medium,1,3,63,3.6,1,Yes,Placed
129,MECH,Female,8.86,High,3,4,74,4.8,0,Yes,Placed
130,ECE,Male,5.9,Low,0,1,39,1.7,2,Yes,Placed
131,ECE,Male,5.66,Low,1,1,62,2.4,3,No,Placed
132,CSE,Male,6.23,Low,1,2,52,2.0,3,No,NotPlaced
133,CSE,Female,5.19,Low,0,0,24,2.1,3,No,NotPlaced
134,EEE,Female,6.87,Medium,1,1,63,2.4,1,Yes,Placed
135,ECE,Female,7.7,Medium,1,3,74,3.2,0,Yes,Placed
136,MECH,Male,6.44,Low,1,1,58,2.5,0,Yes,Placed
137,EEE,Male,5.14,Low,0,0,53,2.6,4,No,NotPlaced
138,CIVIL,Female,5.08,Low,0,0,33,2.0,4,No,NotPlaced
139,EEE,Female,7.32,Medium,1,2,53,2.8,1,Yes,Placed
140,ECE,Male,7.04,Medium,2,2,66,4.1,1,Yes,Placed
141,CSE,Male,8.25,High,1,4,73,2.4,0,Yes,Placed
142,MECH,Female,5.94,Low,1,2,52,2.4,1,No,Placed
143,ECE,Female,5.0,Low,0,0,41,1.4,3,Yes,NotPlaced
144,CSE,Male,7.15,Medium,2,3,61,2.7,1,No,Placed
145,CSE,Female,5.7,Low,0,1,40,3.2,2,No,NotPlaced
146,MECH,Female,5.42,Low,0,0,48,2.0,3,No,NotPlaced
147,EEE,Male,7.43,Medium,3,3,72,3.0,1,Yes,Placed
148,CIVIL,Male,5.71,Low,0,1,41,1.9,4,No,NotPlaced
149,CIVIL,Male,8.24,High,3,2,66,3.3,1,No,Placed
150,ECE,Female,6.11,Low,1,1,50,3.3,3,No,NotPlaced
151,ECE,Male,7.0,Medium,1,2,71,3.9,1,No,Placed
152,CSE,Female,7.9,Medium,1,3,71,4.9,0,Yes,Placed
153,ECE,Male,7.72,Medium,2,2,71,3.4,0,Yes,Placed
154,ECE,Male,6.57,Medium,1,2,63,2.8,2,No,Placed
155,ECE,Male,7.48,Medium,2,2,58,3.0,0,No,Placed
156,CSE,Male,5.69,Low,0,1,36,1.9,3,Yes,Placed
157,MECH,Male,5.12,Low,0,1,46,1.1,3,No,NotPlaced
158,CSE,Female,6.19,Low,0,1,55,2.3,2,No,NotPlaced
159,EEE,Male,7.79,Medium,1,2,72,3.4,1,Yes,Placed
160,ECE,Male,7.37,Medium,1,2,53,3.4,0,No,Placed
161,CSE,Male,6.99,Medium,3,3,55,3.2,0,No,Placed
162,MECH,Male,7.85,Medium,2,3,56,3.3,1,No,Placed
163,EEE,Male,5.23,Low,0,0,51,2.0,2,Yes,Placed
164,EEE,Female,7.71,Medium,2,2,75,3.2,1,Yes,Placed
165,CIVIL,Male,5.99,Low,0,1,53,2.5,2,Yes,Placed
166,CIVIL,Female,5.99,Low,0,0,41,2.4,2,No,Placed
167,CSE,Female,8.08,High,1,2,68,2.4,1,Yes,Placed
168,CSE,Female,7.1,Medium,0,1,20,2.1,3,No,NotPlaced
169,ECE,Female,5.1,Low,0,0,39,2.7,2,No,NotPlaced
170,CSE,Male,6.76,Medium,2,2,61,2.0,1,Yes,Placed
171,ECE,Male,7.18,Medium,2,3,70,3.1,1,No,NotPlaced
172,CIVIL,Male,6.75,Medium,1,2,64,2.8,1,Yes,NotPlaced
173,CSE,Female,6.87,Medium,1,0,41,1.8,2,Yes,Placed
174,ECE,Male,7.27,Medium,1,3,55,3.3,1,No,Placed
175,EEE,Male,8.4,High,2,4,69,3.4,0,No,Placed
176,EEE,Female,5.63,Low,1,1,58,2.6,3,No,NotPlaced
177,ECE,Male,7.09,Medium,1,2,67,3.8,2,No,Placed
178,MECH,Female,6.28,Low,0,2,49,2.6,2,No,NotPlaced
179,ECE,Male,5.94,Low,0,1,55,2.3,2,No,NotPlaced
180,ECE,Female,6.85,Medium,1,3,72,2.5,0,Yes,Placed
181,CSE,Male,5.74,Low,1,2,66,3.2,1,No,Placed
182,CSE,Male,7.23,Medium,1,3,60,3.9,1,Yes,Placed
183,CSE,Male,7.33,Medium,0,1,58,2.7,2,Yes,Placed
184,EEE,Female,7.32,Medium,1,2,60,3.5,1,No,Placed
185,CIVIL,Male,7.56,Medium,0,2,58,2.8,1,Yes,Placed
186,MECH,Male,8.39,High,3,4,83,4.1,0,No,Placed
187,CSE,Female,6.11,Low,0,0,45,2.0,2,Yes,NotPlaced
188,CSE,Female,5.56,Low,0,2,39,2.0,2,No,NotPlaced
189,CSE,Male,6.45,Low,2,2,54,3.4,0,Yes,NotPlaced
190,MECH,Female,10.0,High,3,5,97,4.7,0,Yes,Placed
191,ECE,Male,7.64,Medium,1,3,77,3.6,1,Yes,Placed
192,MECH,Female,8.98,High,3,3,70,4.2,0,No,Placed
193,CSE,Female,6.28,Low,0,1,51,2.2,2,No,NotPlaced
194,ECE,Female,6.53,Medium,2,1,46,3.1,1,No,Placed
195,ECE,Male,8.9,High,3,4,76,3.9,0,Yes,Placed
196,CSE,Female,9.2,High,2,3,84,3.9,1,Yes,Placed
197,ECE,Male,7.1,Medium,2,2,65,3.0,1,Yes,Placed
198,CIVIL,Male,7.2,Medium,1,3,57,3.7,1,Yes,Placed
199,EEE,Female,7.71,Medium,2,2,62,3.7,1,Yes,Placed
200,CSE,Female,8.37,High,3,3,71,3.4,0,Yes,Placed
201,CIVIL,Male,7.91,Medium,3,3,77,3.3,0,No,Placed
202,CSE,Male,7.5,Medium,2,2,58,3.0,1,No,Placed
203,MECH,Female,8.08,High,2,1,81,4.4,1,No,Placed
204,CSE,Male,9.69,High,3,5,98,4.8,0,Yes,Placed
205,MECH,Male,6.4,Low,1,1,53,2.7,2,No,NotPlaced
206,CSE,Female,6.39,Low,1,2,62,2.3,2,Yes,Placed
207,CSE,Male,6.64,Medium,1,1,56,3.3,2,No,NotPlaced
208,CIVIL,Female,6.76,Medium,0,3,59,2.3,1,Yes,Placed
209,CSE,Male,7.06,Medium,0,2,53,3.3,2,Yes,NotPlaced
210,CSE,Male,5.0,Low,0,1,38,2.4,3,Yes,NotPlaced
211,CIVIL,Female,7.72,Medium,2,3,62,3.3,0,Yes,Placed
212,CSE,Female,6.61,Medium,1,1,55,2.2,1,Yes,NotPlaced
213,MECH,Female,5.44,Low,1,1,43,2.8,3,No,Placed
214,ECE,Male,6.26,Low,0,2,54,2.5,1,No,Placed
215,CSE,Female,5.78,Low,1,2,33,2.3,2,No,Placed
216,CSE,Male,5.77,Low,0,0,53,2.2,3,No,NotPlaced
217,MECH,Female,6.8,Medium,0,2,50,2.7,3,Yes,NotPlaced
218,EEE,Female,8.38,High,1,3,72,3.0,0,No,Placed
219,CSE,Male,6.61,Medium,0,3,57,3.2,0,Yes,NotPlaced
220,ECE,Male,6.82,Medium,1,1,52,2.3,2,Yes,NotPlaced
221,CSE,Male,7.81,Medium,3,4,86,3.8,0,Yes,Placed
222,EEE,Female,6.64,Medium,0,1,58,2.4,2,Yes,NotPlaced
223,CIVIL,Male,5.91,Low,0,1,51,3.5,2,Yes,Placed
224,CSE,Male,5.93,Low,0,1,57,2.1,1,No,NotPlaced
225,MECH,Male,7.12,Medium,1,1,57,3.1,2,Yes,Placed
226,CSE,Male,7.89,Medium,1,2,61,2.8,2,No,Placed
227,EEE,Male,5.23,Low,0,2,43,2.2,2,No,NotPlaced
228,CSE,Male,6.28,Low,0,1,49,3.0,2,No,Placed
229,ECE,Female,8.31,High,2,4,90,4.0,0,No,Placed
230,EEE,Male,6.47,Low,0,2,45,1.7,2,No,NotPlaced
231,CSE,Male,7.78,Medium,1,4,67,3.3,1,No,Placed
232,CSE,Male,6.88,Medium,1,1,66,2.8,2,No,Placed
233,ECE,Female,7.43,Medium,1,2,68,2.7,2,No,Placed
234,ECE,Male,6.34,Low,0,0,55,2.4,2,No,NotPlaced
235,CIVIL,Female,6.31,Low,0,1,40,2.1,3,No,NotPlaced
236,ECE,Male,7.22,Medium,1,3,63,3.2,1,Yes,Placed
237,ECE,Female,7.62,Medium,2,3,64,2.7,0,No,Placed
238,EEE,Male,8.26,High,1,2,77,3.5,1,Yes,Placed
239,EEE,Male,9.63,High,2,5,90,4.1,0,No,Placed
240,ECE,Female,6.38,Low,0,2,61,3.3,2,No,NotPlaced
241,EEE,Male,8.04,High,2,3,61,4.6,0,Yes,Placed
242,ECE,Female,8.36,High,1,5,89,3.7,0,Yes,Placed
243,MECH,Female,7.57,Medium,2,2,63,3.5,1,Yes,Placed
244,CIVIL,Male,6.05,Low,0,1,58,1.8,2,Yes,NotPlaced
245,CIVIL,Male,6.5,Medium,1,1,57,3.1,1,Yes,Placed
246,CIVIL,Male,5.54,Low,0,1,31,3.0,3,No,NotPlaced
247,MECH,Male,6.81,Medium,2,2,59,2.7,1,No,Placed
248,ECE,Male,7.05,Medium,0,1,55,2.3,2,No,Placed
249,CIVIL,Male,7.48,Medium,2,3,63,3.7,1,No,Placed
250,CSE,Male,7.12,Medium,1,2,68,2.9,1,No,Placed
251,ECE,Male,5.0,Low,0,0,24,2.2,3,Yes,NotPlaced
252,CSE,Male,7.76,Medium,2,3,49,4.0,0,Yes,Placed
253,CSE,Male,7.97,Medium,1,3,74,3.1,1,Yes,Placed
254,MECH,Male,5.0,Low,0,0,34,2.1,4,No,NotPlaced
255,CSE,Male,7.88,Medium,2,3,76,3.8,0,No,Placed
256,CSE,Female,5.61,Low,0,0,24,1.6,2,Yes,NotPlaced
257,ECE,Male,6.33,Low,1,3,52,3.6,2,Yes,Placed
258,CSE,Female,6.48,Low,1,2,65,2.2,2,No,Placed
259,CIVIL,Female,7.48,Medium,2,2,74,2.6,1,Yes,Placed
260,EEE,Male,6.72,Medium,1,2,50,2.7,1,No,Placed
261,CIVIL,Male,7.88,Medium,2,4,84,3.1,1,Yes,Placed
262,ECE,Male,7.65,Medium,2,4,72,3.5,0,Yes,Placed
263,ECE,Male,7.33,Medium,1,3,60,2.7,1,No,Placed
264,CIVIL,Female,7.44,Medium,3,3,72,3.8,1,No,Placed
265,CIVIL,Female,6.34,Low,1,2,47,3.2,1,Yes,NotPlaced
266,ECE,Female,6.59,Medium,1,3,57,2.8,1,No,Placed
267,EEE,Female,6.52,Medium,2,2,59,2.0,1,No,Placed
268,EEE,Male,8.42,High,2,4,81,3.2,0,No,Placed
269,EEE,Male,6.97,Medium,1,2,44,3.2,1,No,Placed
270,ECE,Male,7.99,Medium,2,2,70,3.5,0,No,Placed
271,MECH,Female,6.36,Low,1,1,64,3.3,1,Yes,NotPlaced
272,EEE,Male,5.57,Low,0,0,42,2.8,3,Yes,NotPlaced
273,ECE,Female,7.63,Medium,1,2,56,2.9,0,Yes,Placed
274,ECE,Male,6.82,Medium,2,2,80,3.7,1,No,Placed
275,ECE,Male,6.93,Medium,1,1,55,1.9,2,Yes,NotPlaced
276,MECH,Male,5.0,Low,0,2,39,1.3,4,No,NotPlaced
277,EEE,Female,5.92,Low,0,0,55,2.5,2,No,NotPlaced
278,MECH,Male,9.13,High,2,3,76,4.1,1,No,Placed
279,CIVIL,Female,7.03,Medium,3,3,63,3.1,0,Yes,Placed
280,EEE,Male,7.91,Medium,2,3,70,2.8,0,No,Placed
281,EEE,Male,7.66,Medium,2,1,54,3.6,2,Yes,Placed
282,ECE,Female,6.45,Low,1,2,75,2.8,1,No,Placed
283,EEE,Female,7.35,Medium,1,2,66,2.7,1,No,Placed
284,CSE,Female,7.68,Medium,2,3,62,3.5,0,No,NotPlaced
285,CSE,Female,5.86,Low,1,1,51,2.9,2,Yes,Placed
286,EEE,Male,8.57,High,2,4,71,3.9,1,No,Placed
287,ECE,Male,7.41,Medium,1,2,69,2.5,1,Yes,Placed
288,CSE,Male,5.33,Low,0,2,50,2.8,2,No,NotPlaced
289,CSE,Female,6.72,Medium,1,3,70,3.0,1,Yes,NotPlaced
290,CSE,Female,7.52,Medium,1,2,79,3.3,0,Yes,Placed
291,EEE,Female,7.16,Medium,1,2,70,3.5,2,No,Placed
292,CSE,Female,6.21,Low,0,3,41,1.9,2,No,Placed
293,ECE,Male,5.94,Low,0,1,59,2.1,2,No,Placed
294,MECH,Male,6.45,Low,0,1,41,2.5,2,Yes,NotPlaced
295,ECE,Female,6.74,Medium,0,2,57,3.3,2,Yes,Placed
296,CIVIL,Female,7.01,Medium,1,1,47,3.1,2,No,Placed
297,ECE,Female,7.91,Medium,2,2,77,4.0,0,No,Placed
298,CSE,Female,6.47,Low,1,1,69,2.5,2,Yes,NotPlaced
299,CIVIL,Female,5.0,Low,0,1,42,1.9,3,No,NotPlaced
300,EEE,Male,7.5,Medium,2,4,59,3.3,1,Yes,Placed
301,ECE,Male,6.72,Medium,1,3,64,3.6,2,No,Placed
302,MECH,Male,6.65,Medium,1,2,67,2.9,2,Yes,NotPlaced
303,MECH,Male,6.82,Medium,2,2,66,3.4,0,No,Placed
304,MECH,Female,7.82,Medium,1,2,55,3.2,1,No,Placed
305,MECH,Male,7.66,Medium,1,2,71,3.0,1,Yes,Placed
306,CSE,Female,8.43,High,3,3,78,3.3,0,No,Placed
307,MECH,Male,7.44,Medium,2,1,80,3.4,0,Yes,Placed
308,EEE,Male,8.11,High,2,3,66,3.2,0,Yes,Placed
309,MECH,Male,7.12,Medium,1,2,69,3.2,1,Yes,Placed
310,ECE,Female,6.39,Low,1,2,60,3.5,2,Yes,Placed
311,EEE,Female,7.64,Medium,1,2,64,2.9,1,Yes,Placed
312,ECE,Female,6.97,Medium,2,2,63,3.5,0,No,Placed
313,ECE,Female,5.0,Low,0,2,51,2.2,3,No,NotPlaced
314,CSE,Female,5.84,Low,0,1,32,2.5,2,No,NotPlaced
315,CIVIL,Female,5.39,Low,0,1,50,3.0,2,No,Placed
316,EEE,Female,6.08,Low,1,1,54,2.5,1,No,Placed
317,CIVIL,Male,6.65,Medium,1,2,67,4.1,1,Yes,Placed
318,MECH,Female,7.37,Medium,2,2,55,2.9,2,Yes,Placed
319,ECE,Male,6.41,Low,0,1,50,2.8,2,No,Placed
320,MECH,Male,6.53,Medium,1,1,60,3.1,2,Yes,NotPlaced
321,CSE,Male,6.51,Medium,2,2,63,3.1,0,Yes,Placed
322,EEE,Female,5.97,Low,1,2,65,2.7,2,No,Placed
323,EEE,Female,5.97,Low,0,2,43,3.0,2,No,NotPlaced
324,ECE,Female,6.07,Low,1,2,57,2.6,2,Yes,NotPlaced
325,CSE,Female,7.75,Medium,1,2,68,2.4,0,No,Placed
326,EEE,Male,6.98,Medium,2,4,65,2.5,1,No,Placed
327,CSE,Female,8.22,High,1,3,71,3.1,0,Yes,Placed
328,ECE,Male,8.25,High,1,4,86,3.5,0,No,Placed
329,CSE,Male,7.82,Medium,2,1,72,4.0,0,Yes,Placed
330,ECE,Male,7.74,Medium,1,2,69,3.4,1,No,Placed
331,CSE,Male,5.91,Low,1,3,52,2.2,1,No,Placed
332,CSE,Female,9.11,High,2,3,82,3.5,1,Yes,Placed
333,EEE,Male,6.5,Medium,0,2,54,2.9,0,Yes,Placed
334,CSE,Female,7.82,Medium,1,4,59,3.3,1,No,Placed
335,CSE,Male,5.0,Low,0,0,22,2.1,3,No,NotPlaced
336,CSE,Female,6.27,Low,0,1,53,3.6,1,No,Placed
337,CSE,Male,7.11,Medium,1,3,65,2.7,0,Yes,Placed
338,CSE,Male,5.99,Low,2,1,44,1.8,2,Yes,NotPlaced
339,EEE,Female,6.45,Low,0,1,63,3.1,3,No,Placed
340,CSE,Male,5.56,Low,0,2,56,2.8,2,Yes,NotPlaced
341,ECE,Male,9.18,High,3,4,75,4.0,0,Yes,Placed
342,CSE,Male,7.06,Medium,1,1,57,2.7,2,No,NotPlaced
343,CSE,Female,7.1,Medium,1,1,43,2.6,2,No,Placed
344,ECE,Male,6.89,Medium,1,2,63,3.9,1,No,Placed
345,ECE,Male,6.23,Low,0,2,43,2.4,3,No,NotPlaced
346,CIVIL,Female,8.35,High,0,4,78,2.6,1,No,Placed
347,CSE,Male,5.89,Low,1,2,37,2.6,2,Yes,Placed
348,CSE,Female,7.18,Medium,0,2,71,3.3,1,No,NotPlaced
349,CSE,Female,7.19,Medium,0,1,65,2.6,3,No,NotPlaced
350,ECE,Male,6.88,Medium,0,2,75,3.7,2,Yes,Placed
351,CSE,Male,7.6,Medium,2,1,72,3.4,0,No,Placed
352,CSE,Female,6.8,Medium,1,2,64,3.3,1,No,Placed
353,CIVIL,Male,8.58,High,2,3,82,3.9,0,Yes,Placed
354,CSE,Male,8.33,High,2,4,76,3.7,1,Yes,Placed
355,MECH,Female,6.85,Medium,1,1,60,2.1,2,Yes,NotPlaced
356,EEE,Male,7.38,Medium,0,2,63,3.9,0,No,Placed
357,ECE,Male,6.67,Medium,1,0,53,2.4,2,No,Placed
358,CSE,Male,8.56,High,2,4,81,4.2,0,No,Placed
359,CIVIL,Female,9.49,High,3,4,85,3.3,0,No,Placed
360,CIVIL,Female,7.68,Medium,2,3,73,3.6,1,No,Placed
361,CSE,Male,8.78,High,2,3,76,4.4,1,No,Placed
362,CSE,Female,7.38,Medium,1,3,62,2.5,2,No,NotPlaced
363,CIVIL,Male,6.84,Medium,1,2,52,3.6,1,No,NotPlaced
364,MECH,Female,8.01,High,2,3,80,3.6,0,Yes,Placed
365,MECH,Male,5.73,Low,0,1,38,2.1,3,No,Placed
366,CSE,Female,6.23,Low,1,1,42,2.2,2,Yes,NotPlaced
367,CSE,Male,7.16,Medium,1,1,62,2.8,2,Yes,Placed
368,CSE,Male,5.86,Low,0,1,35,1.5,4,No,Placed
369,CSE,Female,8.31,High,2,2,75,3.4,1,Yes,Placed
370,MECH,Female,8.52,High,2,3,65,3.5,1,Yes,Placed
371,CSE,Female,6.95,Medium,1,1,54,2.5,2,No,Placed
372,MECH,Male,6.84,Medium,1,2,43,3.8,2,Yes,Placed
373,EEE,Female,6.27,Low,0,1,38,2.6,1,No,Placed
374,CSE,Male,7.13,Medium,1,2,62,3.3,1,Yes,Placed
375,ECE,Male,6.12,Low,0,1,64,3.6,2,Yes,NotPlaced
376,ECE,Female,7.54,Medium,1,2,61,3.1,0,No,Placed
377,EEE,Female,6.08,Low,1,1,50,3.0,2,No,Placed
378,MECH,Female,8.4,High,2,3,71,3.5,1,Yes,Placed
379,CSE,Male,5.0,Low,0,0,33,1.7,5,No,NotPlaced
